snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,x1_des,c_des,mu_des,muerr_des,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
1770639,0.17718,40.956491598078664,0.06589583067304174,1.9138342403831867,0.26983331360062546,-0.01203941822714727,0.02069577499092772,,1.35276,-0.0282433,40.67369,0.12344,40.4823,0.1751,S,,0.0351,39.6026
1777122,0.45551,42.56498625590355,0.11833811836878554,0.17433947444771647,0.6652089175542721,-0.15068199230222973,0.02007780548904811,,-1.59237,-0.2192,41.97567,0.18996,41.8049,0.2051,S,,0.1304,41.958
1810306,0.64245,43.15457316498808,0.23596238198519934,-0.3294092182256345,1.1038460124136311,-0.15029349886503607,0.0871714584870733,,0.62673,-0.182076,42.99211,0.16246,43.066,0.2441,S,,0.188,42.8583
1815065,0.13617,39.25290005023593,0.02,-0.9388611365646518,0.06887013493341092,0.08371326680317942,0.00643055491689525,,-1.271,0.11711,38.89598,0.16109,39.0142,0.1482,S,,0.1004,38.9758
1833339,0.13092,39.13402094148813,0.02,-1.031256473733884,0.05612799450018282,0.03055823258867668,0.006468894248653713,,-1.33554,-0.00123053,38.87889,0.10763,38.627,0.1189,L,,0.0172,38.8831
1847148,0.5074,42.785924389331896,0.27349498711305154,2.644208412631057,1.753377014944678,0.03958146014494168,0.062887834659285,,0.51299,-0.123504,42.39994,0.29816,,,,dm15_provenance,,42.2383
1860025,0.23625,40.94080504529664,0.037223836441119026,-0.7198868002756162,0.14716637322824644,-0.08914705286878766,0.013306895837591124,,-0.99687,-0.0968893,40.59127,0.11133,40.5067,0.126,L,,0.0399,40.3017
1862039,0.28792,41.206998972214436,0.062320054991845585,-1.4148927217425618,0.27701296666899655,0.0550333050882732,0.027339447600668358,,-1.84587,0.00911574,41.02013,0.13868,,,,dm15_provenance,,40.7915
1864053,0.09422,38.404617247411615,0.02,-1.9939545599791155,0.0174097059665066,-0.050202635474507484,0.0023560883401001318,,-2.18719,-0.0995519,38.14556,0.10078,,,,dm15_provenance,,38.1163
1871023,0.14883,39.65323882014951,0.03845450536324469,1.4437508060016864,0.11221835370506987,0.03509758607799296,0.011137547637208587,,0.82282,-0.0711387,39.93288,0.19467,,,L,rms_gate,,39.1862
1879187,0.59271,43.104836986426804,0.24883311381012904,3.9999389386282598,0.021606213137870638,0.17272622304408958,0.09210302806476506,x1,-1.36977,0.22953,42.73633,0.19709,,,,dm15_provenance,,42.6456
1879208,0.19515,40.253865536838006,0.02,0.6308932736549107,0.06053448711964221,-0.0446390534645027,0.0037419277254819995,,0.60133,-0.0437931,39.99672,0.08803,,,L,rms_gate,,39.8356
1879649,0.1202,39.84282144422501,0.02,3.1871043474140848,0.07443776845017237,0.31031387402630806,0.005755868070403785,x1,-0.74475,0.22864,39.18096,0.19729,,,R,no_bracket,,38.6826
1891082,0.55,43.155069692707116,0.1506532004068432,2.594741804672278,0.6597116143457898,-0.0433798801949975,0.03489137254843638,,1.21533,-0.024977,42.5505,0.15334,42.4411,0.18,S,,0.0585,42.4491
1900662,0.44894,42.17834031129088,0.0853198635399319,0.7742149847650595,0.42186404370050656,0.08221767781986689,0.0224835458185664,,0.97761,0.12199,41.96821,0.16684,41.8183,0.1442,S,,0.0612,41.9204
1904092,0.36896,41.55221985357218,0.0729233683386262,-0.1904264619362599,0.2787997515534642,0.04663203342790678,0.020290508014143678,,-0.163977,0.0249882,41.40591,0.14892,41.3767,0.143,S,,0.0528,41.4169
1905171,0.30404,41.46599961646171,0.05140352649867741,0.9977120752634434,0.24093299101414067,0.08725630393719941,0.014450578640452391,,0.64915,0.0935743,41.04589,0.21489,41.2035,0.1529,L,,0.1368,40.9278
1922067,0.1987,40.16792400290919,0.02,1.5201827478528003,0.07307297811970043,-0.04211849792698713,0.003537870774967374,,1.48558,-0.0347251,39.8289,0.11079,39.7879,0.1373,S,,0.1172,39.8793
1927242,0.24666,40.90030135786324,0.048756308880598696,-2.3811104626495765,0.1841137026882305,0.001996245650099815,0.01633213891982017,,-2.6695,-0.0732246,40.75279,0.13371,,,,dm15_provenance,,40.4078
1929063,0.223,40.42774509106609,0.033084125421711984,-0.8622451508090796,0.2145762997489264,0.06308114772510542,0.014971051501593793,,-0.410877,0.0785298,40.1587,0.20142,39.2469,0.1399,S,,0.0627,40.1602
1948484,0.34545,41.43379591840363,0.04859649496098589,-2.2090667225542555,0.2973580811605869,-0.06408917254789814,0.014447204464513889,,-2.67489,-0.105785,41.09129,0.18078,,,,dm15_provenance,,41.2497
